id,wbs,week_start,planned_amount,is_painted,fill_rgb,src_col
453,1,2027-12-20,,1,FFCCCCCC,GI
454,1,2027-12-27,,1,FFCCCCCC,GJ
455,1,2028-01-17,,1,FFCCCCCC,GM
456,1,2028-01-24,,1,FFCCCCCC,GN
457,1.1,2026-05-25,40000.0,0,,DA
458,1.1,2026-06-22,40000.0,0,,DF
459,1.2,2025-10-05,4400.0,0,,BR
460,1.2,2025-10-12,4400.0,0,,BS
461,1.2,2025-10-19,4400.0,0,,BT
462,1.2,2025-10-26,4400.0,0,,BU
463,1.2,2026-05-25,28380.0,0,,DA
464,1.2,2026-09-07,4400.0,0,,DR
465,1.2,2026-09-14,4400.0,0,,DS
466,1.2,2026-09-21,4400.0,0,,DT
467,1.2,2026-09-28,4400.0,0,,DU
468,1.3,2024-11-24,6480.0,0,,AB
469,1.3,2025-01-12,800.0,0,,AI
470,1.3,2025-01-19,800.0,0,,AJ
471,1.3,2025-01-26,800.0,0,,AK
472,1.3,2025-02-02,800.0,0,,AL
473,1.4,2025-03-09,155000.0,0,,AQ
474,1.4,2025-12-28,49314.4,0,,CC
475,2,2024-10-06,,1,FFCCCCCC,U
476,2,2024-10-13,,1,FFCCCCCC,V
477,2,2024-10-20,,1,FFCCCCCC,W
478,2,2024-10-27,,1,FFCCCCCC,X
479,2,2024-11-03,,1,FFCCCCCC,Y
480,2,2024-11-10,,1,FFCCCCCC,Z
481,2,2024-11-17,,1,FFCCCCCC,AA
482,2,2024-11-24,,1,FFCCCCCC,AB
483,2,2024-12-01,,1,FFCCCCCC,AC
484,2,2024-12-08,,1,FFCCCCCC,AD
485,2,2024-12-15,,1,FFCCCCCC,AE
486,2,2024-12-22,,1,FFCCCCCC,AF
487,2,2025-12-22,,1,FFCCCCCC,AG
488,2,2025-01-05,,1,FFCCCCCC,AH
489,2,2025-01-12,,1,FFCCCCCC,AI
490,2,2025-01-19,,1,FFCCCCCC,AJ
491,2,2025-01-26,,1,FFCCCCCC,AK
492,2,2025-02-02,,1,FFCCCCCC,AL
493,2,2025-02-09,,1,FFCCCCCC,AM
494,2,2025-02-16,,1,FFCCCCCC,AN
495,2,2025-02-23,,1,FFCCCCCC,AO
496,2,2025-03-02,,1,FFCCCCCC,AP
497,2,2025-03-09,,1,FFCCCCCC,AQ
498,2,2025-03-16,,1,FFCCCCCC,AR
499,2,2025-03-23,,1,FFCCCCCC,AS
500,2,2025-04-06,,1,FFCCCCCC,AT
501,2,2025-04-13,,1,FFCCCCCC,AU
502,2,2025-04-20,,1,FFCCCCCC,AV
503,2,2025-04-27,,1,FFCCCCCC,AW
504,2,2025-05-04,,1,FFCCCCCC,AX
505,2,2025-05-11,,1,FFCCCCCC,AY
506,2,2025-05-18,,1,FFCCCCCC,AZ
507,2,2025-05-25,,1,FFCCCCCC,BA
508,2,2025-06-01,,1,FFCCCCCC,BB
509,2,2025-06-08,,1,FFCCCCCC,BC
510,2,2025-06-15,,1,FFCCCCCC,BD
511,2,2025-06-22,,1,FFCCCCCC,BE
512,2,2025-07-06,,1,FFCCCCCC,BF
513,2,2025-07-13,,1,FFCCCCCC,BG
514,2,2025-07-20,,1,FFCCCCCC,BH
515,2,2025-07-27,,1,FFCCCCCC,BI
516,2,2025-08-03,,1,FFCCCCCC,BJ
517,2,2025-08-10,,1,FFCCCCCC,BK
518,2,2025-08-17,,1,FFCCCCCC,BL
519,2,2025-08-24,,1,FFCCCCCC,BM
520,2,2025-09-07,,1,FFCCCCCC,BN
521,2,2025-09-14,,1,FFCCCCCC,BO
522,2,2025-09-21,,1,FFCCCCCC,BP
523,2,2025-09-28,,1,FFCCCCCC,BQ
524,2,2025-10-05,,1,FFCCCCCC,BR
525,2,2025-10-12,,1,FFCCCCCC,BS
526,2,2025-10-19,,1,FFCCCCCC,BT
527,2,2025-10-26,,1,FFCCCCCC,BU
528,2,2025-11-02,,1,FFCCCCCC,BV
529,2,2025-11-09,,1,FFCCCCCC,BW
